site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
3,2020,1,1,1,1,0,0.01,0.17,-0.08,0.02,-0.02,-0.18,0.12,-0.88,-0.13,-0.25,-0.46,4.9,-8.54,1.27,-2.43,NA,NA,NA,NA,NA,NA,0.57,0,0,-0.39,9,0,0,22,0,0,0,-5.59,0,0,0,31,17.97,0,0,-32.36,14,0,0,17
3,2020,2,1,1,1,0,-0.11,-0.01,-0.26,-0.09,-0.11,-0.44,-0.19,-4,-0.23,-0.67,-1.31,2.83,-10.98,0.16,-2.74,NA,NA,NA,NA,NA,NA,0,0,0,-3.05,0,0,0,29,0,0,0,-12.83,0,0,0,29,3.23,0,0,-41.35,3,0,0,26
3,2020,3,1,1,1,0,-0.26,-0.2,-0.26,-0.25,-0.26,-0.34,0.5,-2.06,-0.17,-0.52,-0.74,9.21,-10.98,1.83,-3.16,NA,NA,NA,NA,NA,NA,0,0,0,-7.98,0,0,0,31,0,0,0,-10.41,0,0,0,31,13.36,6.61,0,-36.33,10,2,0,21
3,2020,4,1,1,1,0.3,0.83,4.36,-0.26,1.06,0.69,1.46,9.38,-1.38,4.37,-0.39,1.89,16.9,-7.48,8.23,-3.61,0.04,0,58.2,58.2,58.3,58.2,28.96,17.01,0,-3.99,10,5,0,20,45.49,17.68,0,-1.66,24,4,0,6,60.67,38.01,21.99,-3.84,25,8,4,5
3,2020,5,1,1,1,1,6.9,12.36,2.61,7.56,6.35,7.57,23.75,-0.25,14.04,2.27,7.34,24.77,-6.73,15.55,-1.81,2.84,0.05,57.9,56.2,58.4,49.1,213.75,211.03,203.2,0,31,30,28,0,234.63,231.7,214.1,0,31,30,26,0,227.54,223.63,182.47,0,31,29,19,0
3,2020,6,1,1,1,1,14.84,19.42,10.49,16.18,13.63,17.46,35.12,4,26.94,9.43,18.12,37.52,-0.48,28.05,6.92,4.18,0.1,44.6,43.9,49.2,34.6,445.14,445.14,445.14,0,30,30,30,0,523.75,523.75,523.75,0,30,30,30,0,543.7,543.7,543.7,0,30,30,30,0
3,2020,7,1,1,1,1,14.55,17.24,12.61,15.41,13.78,14.72,28.25,4.31,21.7,8.81,14.64,29.27,-0.23,22.86,6,2.19,0.05,45.4,46,50.3,41.6,451.07,451.07,451.07,0,31,31,31,0,456.41,456.41,456.41,0,31,31,31,0,453.84,453.84,453.84,0,31,31,31,0
3,2020,8,1,1,1,1,14.38,17.67,10.86,15.4,13.44,14.51,29.38,1.62,23.52,7,14.22,30.52,-2.48,24.11,3.66,3.15,0.08,40.3,41,46.6,35.8,445.71,445.71,445.71,0,31,31,31,0,449.83,449.83,449.83,0,31,31,31,0,440.69,440.69,440.69,0,31,31,31,0
3,2020,9,1,1,1,1,10.96,13.99,7.99,11.66,10.37,10.57,23.25,1.12,16.73,5.7,10.66,25.9,-2.1,18.1,4.04,2.86,0.07,41,40.1,43.6,-1.4,328.84,328.84,328.84,0,30,30,30,0,317.11,317.11,317.11,0,30,30,30,0,319.84,319.84,319.84,0,30,30,30,0
3,2020,10,1,1,1,1,7.56,11.74,3.49,7.95,7.23,6.12,19,-1.75,9.57,3.21,5.6,21.96,-7.79,10.68,0.99,5.08,0.1,47.6,48.7,57.6,42.3,234.46,234.46,217.51,0,31,31,27,0,189.65,177.98,165.35,0,31,23,20,0,177.27,169.31,151.94,-3.57,26,21,17,5
